model,num_nodes,num_processes,num_gpus,num_prompts,prompt_len,model_parallelism,data_parallelism,quantization,machine,inference_time,request_id,timestamp
falcon-7b,1,1,1,1,27,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.3731348514556885,47d8bb34-2173-4c4a-a738-8e667a49925b,2023-09-28 03:58:46
falcon-7b,1,1,1,1,58,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.7221558094024658,c1b90296-c760-4893-8cd6-c1e220c45dcb,2023-09-28 03:58:48
falcon-7b,1,1,1,1,22,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.6548094749450684,674039f5-52e3-4c3b-be52-5c58f4193c44,2023-09-28 03:58:49
falcon-7b,1,1,1,1,46,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.522691249847412,8db98fd3-3ff4-4166-acad-2d1191276d31,2023-09-28 03:58:51
falcon-7b,1,1,1,1,33,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.8252079486846924,069af1b2-959d-4136-836d-0119ca4b0133,2023-09-28 03:58:53
falcon-7b,1,1,1,1,32,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.6775462627410889,859bf0c7-3ad5-4305-9977-a55ab4ab2d66,2023-09-28 03:58:54
falcon-7b,1,1,1,1,35,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.9310040473937988,3546016e-3593-4f75-b8cf-9abff6510b2d,2023-09-28 03:58:56
falcon-7b,1,1,1,1,76,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.0737380981445312,f143fe09-5038-4645-9f77-ecc5c78a84bc,2023-09-28 03:58:57
falcon-7b,1,1,1,1,47,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.026093006134033,ef33a7c0-15ab-433c-b02b-5b4887a1445c,2023-09-28 03:58:59
falcon-7b,1,1,1,1,36,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.4064850807189941,c7bef866-6656-485a-b806-576f68ba8d36,2023-09-28 03:59:01
falcon-7b,1,1,1,1,48,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.1735503673553467,cd76e248-7119-4c27-b5c4-77412fa88782,2023-09-28 03:59:02
falcon-7b,1,1,1,1,106,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.0664446353912354,4140ed1e-8121-45bf-be6d-71295a3f5450,2023-09-28 03:59:03
falcon-7b,1,1,1,1,52,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.47101759910583496,a9ea7b3d-fe85-44c5-9073-2e174f0b01e4,2023-09-28 03:59:04
falcon-7b,1,1,1,1,83,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.3553905487060547,29c12f61-df67-4662-ad4b-554f07ba99cc,2023-09-28 03:59:06
falcon-7b,1,1,1,1,44,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.2645678520202637,1c0d82b2-2a69-476e-b4d9-98b347a1ab58,2023-09-28 03:59:07
